Date,Detail,Amount,Type
2024/2/28 22:47,DMALL,17.90,Shopping
2024/2/27 22:41,DMALL,3.80,Shopping
2024/2/27 22:36,Yiran,126.00,Living
2024/2/27 19:58,Yiran,50.00,Living
2024/2/27 16:48,Tencent,15.00,Entertainment
2024/2/27 7:53,DMALL,3.80,Shopping
2024/2/26 18:50,DMALL,7.99,Shopping
2024/2/26 18:23,BUPT,200.00,Living
2024/2/25 19:54,Meituan,25.88,Catering
2024/2/25 9:31,Luodazhong,10.00,Shopping
2024/2/23 19:20,Yiran,25.00,Living
2024/2/20 21:02,Yitian,55.00,Living
2024/2/20 14:03,Zhonghuang,2.00,Shopping
2024/2/19 11:59,Yitian,18.00,Living
2024/2/17 17:26,Rice Peel,8.00,Catering
2024/2/15 21:44,PDD,5.30,Shopping
2024/2/15 20:02,Mingxin,37.75,Living
2024/2/15 19:13,Meituan,21.56,Catering
2024/2/14 22:27,Haina Zhixing,29.99,Shopping
