Task,Date,Detail,Amount,Type
Ex-1,2024-03-31 18:26,Beef noodles,16.00,catering
Ex-2,2024-03-30 21:33,Yihui,33.00,shopping
Ex-3,2024-03-30 12:27,BUPT,16.00,living
Ex-4,2024-03-29 21:25,Yihui,12.90,shopping
Ex-5,2024-03-29 21:18,Fruit shop,11.40,shopping
Ex-6,2024-03-29 19:37,Meituan,26.98,catering
Ex-7,2024-03-29 17:42,Tencent,15.00,entertainment
Ex-8,2024-03-28 17:30,Fruit shop,10.00,shopping
Ex-9,2024-03-27 23:04,Meituan,26.79,catering
Ex-10,2024-03-24 12:37,Jiangutou,26.00,catering
Ex-11,2024-03-23 17:47,Sliced noodles,18.00,catering
Ex-12,2024-03-23 11:37,Meituan,27.99,shopping
Ex-13,2024-03-23 01:18,JD,89.00,shopping
Ex-14,2024-03-22 10:47,YC,45.00,living
Ex-15,2024-03-21 18:25,BUPT,200.00,living
Ex-16,2024-03-15 23:53,Gzz,123.00,entertainment
Ex-17,2024-03-14 17:43,BUPT,200.00,null
Ex-18,2024-03-13 09:54,Meituan,30.60,shopping
Ex-19,2024-03-12 18:28,Yihui,14.50,living
Ex-20,2024-03-12 17:54,Jinguyuan Dumpling,77.00,catering
Ex-21,2024-03-12 11:06,Meituan,40.36,catering
Ex-22,2024-03-11 10:55,Hospital,1000.00,living
Ex-23,2024-03-08 16:46,Red packets,41.00,living
Ex-24,2024-03-08 15:34,Huiguan,10.00,living
Ex-25,2024-03-07 17:59,JD,119.00,shopping
Ex-26,2024-03-07 16:53,McDonald's,13.90,catering
Ex-27,2024-03-07 13:03,Hospital,50.00,living
Ex-28,2024-03-06 18:17,Fruit shop,14.70,shopping
Ex-29,2024-03-05 18:56,Fruit shop,11.50,shopping
Ex-30,2024-03-04 18:25,BUPT,200.00,living
Ex-31,2024-03-04 12:49,DMALL,5.00,shopping
Ex-32,2024-03-02 19:39,Luxihe,21.90,living
Ex-33,2024-03-01 19:47,Meituan,26.78,catering
Ex-34,2024-03-01 19:40,Meituan,24.28,catering
Ex-35,2024-03-01 08:40,ICBC,8000.00,income
