Task,Date,Detail,Amount,Type
Ex-1,2024-07-30 19:10,Meituan,39.60,catering
Ex-2,2024-07-29 18:56,Meituan,37.36,catering
Ex-3,2024-07-26 19:52,Meituan,27.26,catering
Ex-4,2024-07-25 19:07,Xiguanwei,71.70,shopping
Ex-5,2024-07-25 18:49,Master Bao,23.48,catering
Ex-6,2024-07-25 08:00,Snack,12.00,catering
Ex-7,2024-07-23 19:50,Meituan,32.90,catering
Ex-8,2024-07-23 10:55,Meituan,17.00,catering
Ex-9,2024-07-22 12:11,Meituan,20.40,catering
Ex-10,2024-07-21 12:27,Mingxin,16.40,living
Ex-11,2024-07-21 12:27,Yitian,48.58,shopping
Ex-12,2024-07-20 15:05,PDD,16.90,shopping
Ex-13,2024-07-19 18:05,Meituan,21.20,catering
Ex-14,2024-07-19 13:59,JD,82.90,shopping
Ex-15,2024-07-18 18:11,KSAMIYA,17.90,shopping
Ex-16,2024-07-17 18:01,Meituan,19.80,catering
Ex-17,2024-07-15 16:24,Beijing Charity Association,20.00,living
Ex-18,2024-07-14 22:04,Zhang,1000.00,living
Ex-19,2024-07-14 14:40,Morning Glory,12.00,living
Ex-20,2024-07-13 20:55,Missa Ice City,6.00,catering
Ex-21,2024-07-12 07:55,Baidelai,26.00,shopping
Ex-22,2024-07-11 09:01,Fangming,90.00,living
Ex-23,2024-07-09 20:03,Wonton House,18.00,catering
Ex-24,2024-07-08 10:03,Beef broth,20.00,catering
Ex-25,2024-07-06 13:22,Jiachen,195.00,living
Ex-26,2024-07-06 12:59,DMALL,19.10,shopping
Ex-27,2024-07-06 12:39,Meituan,22.80,catering
Ex-28,2024-07-04 18:07,DMALL,14.80,shopping
Ex-29,2024-07-04 17:38,BUPT,54.00,living
Ex-30,2024-07-04 12:34,Canteen,127.00,catering
Ex-31,2024-07-01 10:13,Xiaodan,0.60,living
Ex-32,2024-07-01 08:40,ICBC,8000.00,income
